,ROOTNAME,PROPOSID,LINENUM,SUNANGLE,MOONANGL,SUN_ALT,DATE-OBS,EXPTIME,PA_V3,POSTARG1,POSTARG2,FILTER,PATTERN1,LTV1,LTV2,LTM1_1,LTM2_2,PA_APER,VAFACTOR,ORIENTAT,RA_APER,DEC_APER
60,idlk03b1q,15089,03.001,154.469803,147.175735,-2.797109,2019-10-26,49.230225,120.463303,0.90219,0.80632,F110W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,165.154,1.000030956339,165.154,44.54378000291,-8.958131043564
61,idlk01joq,15089,01.002,138.276627,133.518433,0.348207,2019-09-28,502.936462,116.248703,0.54235,0.18176,G102,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,160.939,1.000036348795,160.939,44.54392249026,-8.958284810888
62,idlk03b0q,15089,03.001,154.46936,147.160843,3.075814,2019-10-26,49.230225,120.463303,0.4511,0.40316,F110W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,165.154,1.000032292763,165.154,44.54393166673,-8.958207188835
63,idlk01jlq,15089,01.001,138.270828,133.413834,-33.529594,2019-09-28,49.230225,116.248703,0.90219,0.80632,F110W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,160.939,1.000058089179,160.939,44.54376949284,-8.958153475924
64,idlk02jvq,15089,02.001,138.327225,134.40126,-0.276539,2019-09-28,49.230225,116.248703,0.90219,0.80632,F160W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,160.939,1.000041455277,160.939,44.54376949284,-8.958153475924
65,idlk02juq,15089,02.001,138.32608,134.384003,-6.383705,2019-09-28,49.230225,116.248703,0.4511,0.40316,F160W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,160.939,1.000044129159,160.939,44.54392641173,-8.958218405115
66,idlk04bcq,15089,04.002,154.48558,147.943939,-8.527464,2019-10-26,502.936462,120.463303,0.0,0.0,G141,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,165.154,1.000024877801,165.154,44.54408333333,-8.958283333333
67,idlk03azq,15089,03.001,154.468903,147.14592,9.034422,2019-10-26,49.230225,120.463303,0.0,0.0,F110W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,165.154,1.000033283192,165.154,44.54408333333,-8.958283333333
68,idlk01jpq,15089,01.002,138.281601,133.605911,32.173626,2019-09-28,502.936462,116.248703,0.33891,0.48481,G102,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,160.939,1.000028160581,160.939,44.54394873255,-8.958186790932
69,idlk03b7q,15089,03.002,154.474564,147.414688,-8.373169,2019-10-26,502.936462,120.463303,-0.20344,0.30304,G102,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,165.154,0.999985620374,165.154,44.544116798,-8.958187486197
70,idlk01jkq,15089,01.001,138.269684,133.396484,-37.396816,2019-09-28,49.230225,116.248703,0.4511,0.40316,F110W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,160.939,1.000060666817,160.939,44.54392641173,-8.958218405115
71,idlk03b4q,15089,03.002,154.471481,147.265274,-32.945381,2019-10-26,502.936462,120.463303,0.54235,0.18176,G102,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,165.154,1.000010673426,165.154,44.54392281529,-8.95827313035
